iteracao;melhor_custo;
0;20535,07000;
1;20535,07000;
2;20535,07000;
3;20535,07000;
4;20535,07000;
Nulo
5;20535,07000;
6;20535,07000;
7;20535,07000;
8;20535,07000;
9;20535,07000;
10;20535,07000;
11;20535,07000;
12;20535,07000;
13;20535,07000;
14;20535,07000;
15;20535,07000;
16;20535,07000;
17;20535,07000;
18;20535,07000;
19;20535,07000;
20;19993,63889;
21;19993,63889;
22;19993,63889;
23;19993,63889;
24;19993,63889;
25;19993,63889;
26;19993,63889;
27;19993,63889;
28;19993,63889;
29;19993,63889;
30;19993,63889;
31;19993,63889;
32;19993,63889;
33;19993,63889;
34;19993,63889;
35;19993,63889;
36;19993,63889;
37;19993,63889;
38;19993,63889;
39;19228,47408;
40;19228,47408;
41;19228,47408;
42;19228,47408;
43;19228,47408;
44;19228,47408;
45;19228,47408;
46;19228,47408;
47;19228,47408;
48;19228,47408;
49;19228,47408;
50;19228,47408;
51;19228,47408;
52;19228,47408;
53;19228,47408;
54;19228,47408;
55;19228,47408;
56;19228,47408;
57;19228,47408;
58;19228,47408;
59;19228,47408;
60;19228,47408;
61;19228,47408;
62;19228,47408;
63;19228,47408;
64;19228,47408;
65;19228,47408;
66;19228,47408;
67;19228,47408;
68;19228,47408;
69;19228,47408;
70;19228,47408;
71;17523,72807;
72;17523,72807;
73;17523,72807;
74;17523,72807;
75;17523,72807;
76;17523,72807;
77;17523,72807;
78;17523,72807;
79;17523,72807;
80;17523,72807;
81;17523,72807;
82;17523,72807;
83;17523,72807;
84;17523,72807;
85;17523,72807;
86;17523,72807;
87;17523,72807;
88;17523,72807;
89;17523,72807;
90;17523,72807;
91;17523,72807;
92;17523,72807;
93;17523,72807;
94;17523,72807;
95;17523,72807;
96;17523,72807;
97;17523,72807;
98;17523,72807;
99;17523,72807;
100;17523,72807;
101;17523,72807;
102;17523,72807;
103;17523,72807;
104;17523,72807;
105;17523,72807;
106;17523,72807;
107;17523,72807;
108;17523,72807;
109;17523,72807;
110;17523,72807;
111;17523,72807;
112;17523,72807;
113;17523,72807;
114;17523,72807;
115;17523,72807;
116;17523,72807;
117;17523,72807;
118;17523,72807;
119;17523,72807;
120;17523,72807;
121;17523,72807;
122;17523,72807;
123;17523,72807;
124;17523,72807;
125;17523,72807;
126;17523,72807;
127;17523,72807;
128;17523,72807;
129;17523,72807;
130;17523,72807;
131;17523,72807;
132;17523,72807;
133;17523,72807;
134;17523,72807;
135;17523,72807;
136;17523,72807;
137;17523,72807;
138;17523,72807;
139;17523,72807;
140;17523,72807;
141;17523,72807;
142;17523,72807;
143;17523,72807;
144;17523,72807;
145;17523,72807;
146;17523,72807;
147;17523,72807;
148;17523,72807;
149;17523,72807;
150;17523,72807;
151;17523,72807;
152;17523,72807;
153;17523,72807;
154;17523,72807;
155;17523,72807;
156;17523,72807;
157;17523,72807;
158;17523,72807;
159;17523,72807;
160;17523,72807;
161;17523,72807;
162;17523,72807;
163;17523,72807;
164;17523,72807;
165;17523,72807;
166;17523,72807;
167;17523,72807;
168;17523,72807;
169;17523,72807;
170;17523,72807;
171;17523,72807;
172;17523,72807;
173;17523,72807;
174;17523,72807;
175;17523,72807;
176;17523,72807;
177;17523,72807;
178;17523,72807;
179;17523,72807;
180;17523,72807;
181;17523,72807;
182;17523,72807;
183;17523,72807;
184;17523,72807;
185;17523,72807;
186;17523,72807;
187;17523,72807;
188;17523,72807;
189;17523,72807;
190;17523,72807;
191;17523,72807;
192;17523,72807;
193;17523,72807;
194;17523,72807;
195;17523,72807;
196;17523,72807;
197;17523,72807;
198;17523,72807;
199;17523,72807;
200;17523,72807;
201;17523,72807;
202;17523,72807;
203;17523,72807;
204;17523,72807;
205;17523,72807;
206;17523,72807;
207;17523,72807;
208;17523,72807;
209;17523,72807;
210;17523,72807;
211;17523,72807;
212;17523,72807;
213;17523,72807;
214;17523,72807;
215;17523,72807;
216;17523,72807;
217;17523,72807;
218;17523,72807;
219;17523,72807;
220;17523,72807;
221;17523,72807;
222;17523,72807;
223;17523,72807;
224;17523,72807;
225;17523,72807;
226;17523,72807;
227;17523,72807;
228;17523,72807;
229;17523,72807;
230;17523,72807;
231;17523,72807;
232;17523,72807;
233;17523,72807;
234;17523,72807;
235;17523,72807;
236;17523,72807;
237;17523,72807;
238;17523,72807;
239;17523,72807;
240;17523,72807;
241;17523,72807;
242;17523,72807;
243;17523,72807;
244;17523,72807;
245;17523,72807;
246;17523,72807;
247;17523,72807;
248;17523,72807;
249;17523,72807;
250;17523,72807;
251;17523,72807;
252;17523,72807;
253;17523,72807;
254;17523,72807;
255;17523,72807;
256;17523,72807;
257;17523,72807;
258;17523,72807;
259;17523,72807;
260;17523,72807;
261;17523,72807;
262;17523,72807;
263;17523,72807;
264;17523,72807;
265;17523,72807;
266;17523,72807;
267;17523,72807;
268;17523,72807;
269;17523,72807;
270;17523,72807;
271;17523,72807;
272;17523,72807;
273;17523,72807;
274;17523,72807;
275;17523,72807;
276;17523,72807;
277;17523,72807;
278;17523,72807;
279;17523,72807;
280;17523,72807;
281;17523,72807;
282;17523,72807;
283;17523,72807;
284;17523,72807;
285;17523,72807;
286;17523,72807;
287;17523,72807;
288;17523,72807;
289;17523,72807;
290;17523,72807;
291;17523,72807;
292;17523,72807;
293;17523,72807;
294;17523,72807;
295;17523,72807;
296;17523,72807;
297;17523,72807;
298;17523,72807;
299;17523,72807;
